"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-28"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","울산광역시 남구 신정동","1909","1909","0000","대명루첸","83.1716","202512","26","79,000","-","16","개인","개인","2016","중앙로120번길 12-8","-","중개거래","울산 남구","-"
"2","울산광역시 중구 유곡동","260","0260","0000","우정혁신도시푸르지오","84.9960","202512","26","55,500","-","12","개인","개인","2013","유곡로 80","-","중개거래","울산 중구","-"
"3","울산광역시 남구 삼산동","324-17","0324","0017","한화꿈에그린아파트2단지","84.9949","202512","26","53,000","-","7","개인","개인","2010","산업로613번길 29","-","직거래","-","-"
"4","울산광역시 동구 화정동","851-3","0851","0003","현대파라다이스3","73.5300","202512","26","15,200","-","13","개인","개인","1993","봉수로 100","-","중개거래","울산 동구","-"
"5","울산광역시 남구 달동","775-6","0775","0006","어울림","84.9750","202512","26","40,000","-","15","개인","개인","1999","도산로77번길 4","-","직거래","-","-"
"6","울산광역시 남구 달동","1412","1412","0000","삼환아르누보","128.4000","202512","26","51,000","-","9","개인","개인","2009","삼산로 87","-","직거래","-","-"
"7","울산광역시 중구 태화동","412-2","0412","0002","진영동부","59.9400","202512","26","16,200","-","10","개인","법인","1994","신기12길 38","-","중개거래","울산 중구","-"
"8","울산광역시 동구 전하동","301-24","0301","0024","전하동현대홈타운","84.8400","202512","26","24,500","-","18","개인","개인","2002","봉수로 370","-","중개거래","울산 동구","-"
"9","울산광역시 울주군 언양읍 서부리","236","0236","0000","삼성아파트","59.9100","202512","26","10,000","-","4","개인","개인","1996","웃방천1길 33","-","직거래","-","-"
"10","울산광역시 울주군 범서읍 굴화리","758","0758","0000","문수산 더샵","84.8900","202512","26","55,000","-","16","개인","개인","2014","장검길 88","-","중개거래","울산 울주군","-"
"11","울산광역시 북구 달천동","1-5","0001","0005","달천아이파크1차","123.8290","202512","26","40,500","-","18","개인","개인","2008","달천로 50","-","중개거래","울산 북구","-"
"12","울산광역시 울주군 언양읍 송대리","53-1","0053","0001","양우내안애더퍼스트","63.9584","202512","25","21,400","-","3","개인","개인","2019","내곡능골길 93-20","-","중개거래","울산 울주군","-"
"13","울산광역시 북구 천곡동","418","0418","0000","삼성코아루","75.9930","202512","25","24,000","-","11","개인","개인","2005","천곡남로 37","-","중개거래","울산 북구","-"
"14","울산광역시 울주군 온양읍 망양리","794","0794","0000","e편한세상울산온양","84.9479","202512","25","32,400","-","23","개인","개인","2018","망양길 50","-","중개거래","울산 울주군","-"
"15","울산광역시 북구 송정동","1207-3","1207","0003","울산송정한양수자인","84.9843","202512","25","52,800","-","2","개인","개인","2019","박상진3로 25","-","중개거래","울산 북구","-"
"16","울산광역시 울주군 온양읍 대안리","409-3","0409","0003","한그린","72.5400","202512","25","8,700","-","12","개인","개인","1993","연안8길 31","-","중개거래","울산 울주군","-"
"17","울산광역시 울주군 온양읍 대안리","266-2","0266","0002","우주그린가든","84.2800","202512","25","12,400","-","1","개인","개인","1992","화산발리로 712","-","중개거래","울산 울주군","-"
"18","울산광역시 북구 신천동","799","0799","0000","신천효성해링턴플레이스","59.5699","202512","25","30,750","-","10","개인","개인","2018","신천로 26","-","중개거래","울산 북구","-"
"19","울산광역시 남구 달동","775-6","0775","0006","어울림","59.8500","202512","25","28,200","-","7","개인","개인","1999","도산로77번길 4","-","중개거래","울산 남구","-"
"20","울산광역시 남구 두왕동","748","0748","0000","대공원호반베르디움","84.9801","202512","25","50,800","-","12","개인","개인","2019","테크노산업로44번길 50","-","중개거래","울산 남구","-"
